http_method,route,entry_file,service_repository_chain,tables_written,financial_impact,employee_ledger_impact,inventory_impact,booking_availability_impact,current_branch_source,future_branch_source,required_future_authorization,transaction_boundaries,risks_if_branch_omitted_or_user_controlled,trusts_frontend_ownership_values,evidence_label,priority
POST,/api/incomes/bulk-update,src/app/api/incomes/bulk-update/route.ts,batch UPDATE,TblCashMove,Yes,Maybe,No,No,None,Each row parent branch,Admin branch scope,TX/batch,Bulk mix branches,Yes,Confirmed from code,P1
POST,/api/deductions,src/app/api/deductions/route.ts,advance + paired income dual cash + ledger,"TblCashMove x2,TblExpINCat?,TblEmpLedgerEntry",Yes,Yes,No,No,Open day/shift,Paying treasury session branch,branch + emp assignment,TX,Advance attributed wrong site,Yes emp amount,Confirmed from code,P0
POST,/api/treasury/transfer,src/app/api/treasury/transfer/route.ts,audited executeTreasuryTransfer,TblCashMove x2,Yes,No,No,No,Day/shift,Session branch,Audited + branch,SERIALIZABLE,Transfer wrong books,Yes methods amounts,Confirmed from code,P0
POST,/api/treasury/reconciliation,src/app/api/treasury/reconciliation/route.ts,audited closeTreasuryDay,"TblNewDay,TblTreasuryCloseRecon",Yes close,No,No,No,Global open day,Session branch day,Audited + branch day ownership,SERIALIZABLE,Close other branch day,Partial counts from client?,Confirmed from code,P0
POST,/api/day/open,src/app/api/day/open/route.ts,direct SQL insert TblNewDay,TblNewDay,Gates all money,No,No,Indirect,Global singleton,Session branch,day.open + branch,Single statements race-prone,Second branch blocked or shared day,No,Confirmed from code,P0
POST,/api/day/close,src/app/api/day/close/route.ts,close day; optional force close all shifts,TblNewDay; TblShiftMove,Gates money,No,No,No,Global,Session branch,day.close + branch,Statements,Force-closes other branch shifts,forceCloseShifts flag,Confirmed from code,P0
POST,/api/day/close-and-open,src/app/api/day/close-and-open/route.ts,TX close+open,TblNewDay; TblShiftMove,Yes gate,No,No,No,Global,Session branch,both permissions + branch,TX,Rollover wrong branch,No,Confirmed from code,P0
POST,/api/shift/open,src/app/api/shift/open/route.ts,insert TblShiftMove,TblShiftMove,Gates POS writes,No,No,No,Active global day,Session branch day,shift.open + branch day open,Statements,Shift on wrong day/branch,ShiftID from client?,Confirmed from code,P0
POST,/api/shift/close,src/app/api/shift/close/route.ts,update TblShiftMove,TblShiftMove,Yes gate,No,No,No,shiftMoveID,Parent shift branch,Owner or admin same branch,Statements,Close others' shift cross-branch,shiftMoveID client,Confirmed from code,P0
POST,/api/bookings,src/app/api/bookings/route.ts,insert booking+services,"Bookings,BookingServices",No,No,No,Yes,None,Session branch,ops booking + branch,TX/statements,Calendar mix / wrong site,Yes emp time services,Confirmed from code,P0
PATCH,/api/bookings/[id],src/app/api/bookings/[id]/route.ts,status transitions,Bookings,No,No,No,Yes,None,Parent booking branch,branch match,Statements,Cross-branch lifecycle,Partial,Confirmed from code,P1
PATCH,/api/operations/bookings/[id]/reschedule,src/app/api/operations/bookings/[id]/reschedule/route.ts,bookingRescheduleCore + scheduleIntegrity,"Bookings,BookingServices",No,No,No,Yes,None,Parent + session branch,branch + applock,TX + applock operations-schedule,Double-book across branches,Yes times emp,Confirmed from code,P0
POST,/api/operations/bookings/[id]/arrive,src/app/api/operations/bookings/[id]/arrive/route.ts,TX create queue from booking,"QueueTickets,QueueTicketServices,QueueTicketHistory,Bookings",No,No,No,Yes,None,Booking branch,branch match,TX + ticket locks,Queue on wrong board,No,Confirmed from code,P0
POST,/api/public/booking/create,src/app/api/public/booking/create/route.ts,validate → applock → insert → WhatsApp,"Bookings,BookingServices,maybe TblClient",No,No,No,Yes,None (site implied),Public site BranchID config (not client spoofable),Origin/site key → branch,TX + applock + rate limit,Books capacity of all sites,Yes slot emp services phone,Confirmed from code,P0
POST,/api/public/booking/plan,src/app/api/public/booking/plan/route.ts,multi-segment plan TX,same,No,No,No,Yes,None,Public site branch,site→branch,TX + applocks,Multi-service across wrong site,Yes,Confirmed from code,P0
POST,/api/public/booking/cancel,src/app/api/public/booking/cancel/route.ts,phone verify cancel,Bookings,No,No,No,Yes,None,Parent booking branch,client owns booking,Statements,Cancel wrong booking if codes collide,Phone,Confirmed from code,P1
POST,/api/operations/queue/create,src/app/api/operations/queue/create/route.ts,operationsQueueCreateCore,QueueTickets+services+maybe Client,No,No,No,Yes,Cairo date,Session branch,ops + branch,TX + applock,Wrong queue board,Yes,Confirmed from code,P0
POST,/api/operations/queue/quick,src/app/api/operations/queue/quick/route.ts,quickQueueConfig + create core,Queue tables,No,No,No,Yes,Cairo date,Session branch,ops + branch,TX,Wrong board,Limited,Confirmed from code,P1
POST,/api/queue,src/app/api/queue/route.ts,legacy/ops queue create,Queue tables,No,No,No,Yes,Cairo date,Session branch,auth + branch,TX,Mix tickets,Yes,Confirmed from code,P0
PATCH,/api/queue/[id],src/app/api/queue/[id]/route.ts,status/emp + history,QueueTickets histories maybe Bookings,No,No,No,Yes,None,Parent ticket branch,branch match,TX,Cross-board ops,Yes emp status,Confirmed from code,P0
POST,/api/operations/queue/[id]/cancel,src/app/api/operations/queue/[id]/cancel/route.ts,cancel queue+booking,Queue+Bookings,No,No,No,Yes,None,Parent branch,branch,Statements,Wrong cancel,No,Confirmed from code,P1
POST,/api/operations/queue/[id]/announce,src/app/api/operations/queue/[id]/announce/route.ts,announce flags,QueueTickets,No,No,No,No,None,Parent branch,branch,Statements,Announce wrong ticket,No,Confirmed from code,P2
POST,/api/queue/settle-expired,src/app/api/queue/settle-expired/route.ts,lifecycle settle,QueueTicketStatusHistory+tickets,No,No,No,Yes,None,Job must iterate branches,system job branch list,TX,Settles all branches blindly,No,Confirmed from code,P1
PATCH,/api/queue/settings,src/app/api/queue/settings/route.ts,update settings,QueueBookingSettings,No,No,No,Yes config,Singleton,Session/admin branch settings row,admin branch,Statements,One settings row overwrites all sites,Yes,Confirmed from code,P0
PATCH,/api/admin/booking-settings,src/app/api/admin/booking-settings/route.ts,update + invalidatePublicSettingsCache,QueueBookingSettings,No,No,No,Yes,Singleton,Per-branch settings,admin + branch,Statements + cache,Cache leak across branches,Yes,Confirmed from code,P0
POST,/api/admin/booking-control/overrides,src/app/api/admin/booking-control/overrides/route.ts,scheduleOverrides helpers,TblEmpScheduleOverrides,No,No,No,Yes,None,Branch of override,admin HR/ops branch,Statements,Blocks emp globally wrongly or leaks,Yes,Confirmed from code,P1
POST,/api/operations/schedule-control/apply,src/app/api/operations/schedule-control/apply/route.ts,apply overrides maybe attendance,overrides; maybe attendance,No,No,No,Yes,None,Session branch,ops + branch,TX,Cross-site schedule,Yes,Confirmed from code,P1
POST,/api/employees/attendance,src/app/api/employees/attendance/route.ts,direct upsert,TblEmpAttendance,No,Indirect payroll,No,Yes availability,None,Session branch + emp assignment,attendance permission + branch,Statements / unique Emp+Date,One attendance row fights two sites,Yes,Confirmed from code,P0
POST,/api/admin/attendance,src/app/api/admin/attendance/route.ts,upsert + breaks,Attendance+breaks+maybe overrides,No,Payroll,No,Yes,None,Admin selected branch,requirePageAccess + branch,TX,Marks attendance wrong site,Yes,Confirmed from code,P0
POST,/api/admin/attendance/bulk,src/app/api/admin/attendance/bulk/route.ts,bulk upsert,Attendance family,No,Payroll,No,Yes,None,Admin branch,HR + branch,TX,Mass wrong site,Yes,Confirmed from code,P0
POST,/api/payroll/daily/generate,src/app/api/payroll/daily/generate/route.ts,runDailyPayrollGenerateWithOptionalLedger,TblEmpDailyPayroll; ledger,Maybe later post,Yes,No,No,WorkDate only,Explicit branch param from secure job/session,HR + branch,TX,Wages for wrong site staff set,WorkDate client,Confirmed from code,P0
POST,/api/payroll/daily/auto-generate,src/app/api/payroll/daily/auto-generate/route.ts,generate + TblAutoGenLog,Payroll+log+ledger,Maybe,Yes,No,No,Cron/open,System job per branch,CRON_SECRET + branch list,TX,All-emp generate mixes sites,No,Confirmed from code,P0
POST,/api/payroll/daily/post-to-cash,src/app/api/payroll/daily/post-to-cash/route.ts,post wages to CashMove,TblCashMove; payroll flags; ledger,Yes out,Yes,No,No,Open day?,Paying treasury session branch,HR/finance + branch,TX + applock,Payroll cash wrong treasury,Selection client,Confirmed from code,P0
PUT,/api/payroll/employees/[empId]/salary-settings,src/app/api/payroll/employees/[empId]/salary-settings/route.ts,update emp + history,TblEmp; TblEmpSalaryHistory,No,Indirect,No,No,Global emp,Global emp identity (not branch money),HR admin,TX,N/A money; still sensitive,Yes rates,Confirmed from code,P2
POST,/api/admin/hr/employee-ledger/funding,src/app/api/admin/hr/employee-ledger related funding route,executeEmployeeFunding,CashMove+ledger,Yes in,Yes,No,No,Day/shift,Paying treasury branch,HR page + branch,TX,Funding wrong books,Yes,Confirmed from code,P0
POST,/api/admin/hr/employee-ledger/payout,employee ledger payout route,executeEmployeePayout,CashMove+ledger,Yes out,Yes,No,No,Day/shift,Paying treasury branch,HR + branch,TX,Payout wrong books,Yes,Confirmed from code,P0
POST,/api/admin/hr/employee-ledger/monthly-salary/post,monthly salary route,postMonthlySalaryEntitlements,TblEmpLedgerEntry only,No cash,Yes accrual,No,No,Month,Policy — tag branch or global,HR + policy,TX,Accrual ambiguity multi-site,Yes,Confirmed from code,P1
POST,/api/admin/hr/employee-ledger/sync,sync route,employeeLedgerSyncService,Ledger backfill,No,Yes,No,No,None,Explicit branch filter in job,super_admin,TX batches,Backfill mixes,No,Confirmed from code,P1
POST,/api/admin/hr/employee-ledger/void-entry,void route,void service,Ledger void,No,Yes,No,No,None,Parent entry branch,HR + branch,TX,Void wrong site entry,entry id,Confirmed from code,P1
POST,/api/payroll/daily/targets/generate,targets generate route,target generate services,TblEmpDailyTarget,No,Later ledger sync,No,No,WorkDate,Branch of revenue scope,HR + branch,TX + UPDLOCK,Targets from all-branch invoices,WorkDate,Confirmed from code,P0
POST,/api/payroll/daily/targets/ledger-sync,targets ledger-sync,ledger sync from targets,TblEmpLedgerEntry,No,Yes,No,No,None,Target branch,HR + branch,TX,Ledger credits wrong,No,Confirmed from code,P0
POST,/api/payroll/daily/targets/recalc-requests,recalc enqueue,insert request,TblEmpTargetRecalcRequest,No,Later,No,No,From sales often,Invoice branch,system,Statements,Unique Emp+Date blocks multi-branch,Emp WorkDate,Confirmed from code,P0
POST,/api/payroll/daily/targets/recalc-requests/process,process route / CLI script,process recalc,Targets+ledger+request,No,Yes,No,No,None,Process per branch queue,CRON/system + branch,TX,Processes mixed revenue,No,Confirmed from code,P0
POST,/api/admin/hr/nightly-close,src/app/api/admin/hr/nightly-close/route.ts,runNightlyClose → attendance finalize payroll targets WhatsApp,Many HR tables + AutoGenLog,Indirect,Yes,No,Indirect,Cron Cairo,Iterate each branch explicitly,CRON_SECRET,Orchestrated TXes,Runs once globally mixing all sites,No,Confirmed from code,P0
POST,/api/budget,src/app/api/budget/route.ts,insert month if not exists,TblBudgetMonth,No (planning),No,No,No,App Year+Month unique global,Session/admin branch,budget admin + branch,Statements 409,One budget for all branches,Yes year month,Confirmed from code,P1
POST,/api/budget/[id]/seed,budget seed,seed lines,TblBudgetMonthLine,No,No,No,No,Parent budget,Parent branch,admin,TX,Wrong template,No,Confirmed from code,P2
POST,/api/customers,src/app/api/customers/route.ts,insert client,TblClient,No,No,No,No,Global,Global create OK,customers permission,Statements,Dup identity risk,Yes phone name,Confirmed from code,P2
PUT,/api/customers/[id],src/app/api/customers/[id]/route.ts,update client,TblClient,No,No,No,No,Global,Global,permission,Statements,Overwrites shared profile,Yes,Confirmed from code,P2
POST,/api/loyalty/adjust,src/app/api/loyalty/adjust/route.ts,sp_Loyalty_AdjustPoints,loyalty tables,No cash,No emp,Points,No,None,Optional branch tag on ledger; balance global,loyalty admin,SP,Audit trail loss,Yes points,Confirmed from code,P1
POST,/api/loyalty/reverse-sale,src/app/api/loyalty/reverse-sale/route.ts,sp_Loyalty_ReverseSalePoints,loyalty,No cash,No,Points,No,Sale id,Sale branch for authz,admin + sale branch,SP,Reverse points for other branch sale,sale id,Confirmed from code,P1
POST,/api/public/client/store/buy,src/app/api/public/client/store/buy/route.ts,store.service purchase,inventory loyalty stock,No cash,No,Yes stock+points,No,optional salonId param,Secure salon/branch mapping not client-only,client auth + branch catalog,TX UPDLOCK stock,Buy from wrong salon stock; NULL SalonID shared,salonId query,Confirmed from code,P1
POST,/api/pos/client-inventory/use,src/app/api/pos/client-inventory/use/route.ts,useInventoryItem,ClientInventory+UsageLog,No,No,Yes consume,No,Session,Session branch tag usage,POS + branch,TX,Usage log wrong site,item id,Confirmed from code,P2
POST,/api/admin/store/clear,src/app/api/admin/store/clear/route.ts,destructive wipe,store tables,No,No,Yes wipe,No,None,super_admin + branch confirm,super_admin,TX,Wipes all salons,No,Confirmed from code,P0
PUT,/api/admin/reports/partners-overrides,src/app/api/admin/reports/partners-overrides/route.ts,partnersEmployeeOverridesStore file write,filesystem JSON,Report only,No,No,No,Single file,Per-branch store,partner admin,file IO,Overrides apply to all branches,Yes emp lists,Confirmed from code,P1
POST,/api/reports/employee-services/reassign,src/app/api/reports/employee-services/reassign/route.ts,TX update EmpID on details,TblinvServDetail,Attribution,Targets downstream,No,No,None,Parent invoice branch,finance + branch,TX,Moves revenue attribution cross-site,Yes empId,Confirmed from code,P0
POST,/api/auth/login,src/app/api/auth/login/route.ts,password check set cookie,session cookie only,No,No,No,No,N/A,Issue default branch claim after login,valid user,N/A,No branch in session today,credentials,Confirmed from code,P0
DELETE,/api/auth/session,src/app/api/auth/session/route.ts,clear cookie,—,No,No,No,No,N/A,Clear branch claim,auth,N/A,N/A,No,Confirmed from code,P2
POST,/api/db/toggle,src/app/api/db/toggle/route.ts,setDbTarget local/cloud,— runtime pool,Switches entire DB,—,—,—,None,Disable or super_admin only; not a branch switch,Critical lock down,cooldown,Points app at wrong DB,target client,Confirmed from code,P0
—,sync-service apply,sync-service/,CT push/pull/apply,Any CT-enabled dbo + sync.*,Yes potential,Yes,Yes,Yes,Local vs cloud nodes,Must not treat nodes as branches; redesign,ops infra auth,batches,Replicates mixed branch rows blindly,N/A,Confirmed from schema/code,P0
POST,/api/admin/hr/employee-daily-whatsapp-report,admin HR whatsapp report,WhatsApp send,outbound only,No,No,No,No,None,Per branch recipients/name,admin + branch,N/A,Wrong branch label (default جليم),Yes,Confirmed from code,P2
POST,/api/admin/reports/full-day/owner-whatsapp,owner whatsapp,full-day + WhatsApp,outbound,No,No,No,No,date only,Selected branch report,owner + branch,N/A,Sends mixed P&L,date,Confirmed from code,P1
