schema,table_name,purpose,primary_key,important_fks,main_write_paths,main_read_paths,current_ownership_model,recommended_classification,needs_branch_id,use_branch_mapping_table_instead,inherit_branch_from_parent,historical_migration_risk,cross_branch_leakage_risk,migration_priority,evidence_label,evidence_refs,notes
dbo,TblStaffExpenseDistribution,Staff expense distribution header,ID,ExpINCat; Emp,expenses/distribute,Reports,Salon-level,Branch-scoped,Yes,No,—,Med,High,P2,Confirmed from schema,STAFF_EXPENSE_DISTRIBUTION.sql,
dbo,TblStaffExpenseDistributionDetail,Distribution detail,ID,CashMove; Emp,trigger/sp distribute,Reports,Inherit,Inherit,No (inherit),No,header/CashMove,Med,High,P2,Confirmed from schema,STAFF_EXPENSE_DISTRIBUTION.sql,
dbo,TblBudgetMonth,Monthly budget header,BudgetMonthID,—,POST/PUT /api/budget,budget UI; actuals compare,App unique Year+Month,Branch-scoped,Yes,No,—,High,Critical,P1,Confirmed from code,src/app/api/budget/route.ts,No DB UNIQUE in repo
dbo,TblBudgetMonthLine,Budget lines,line ID,BudgetMonthID,budget lines CRUD/seed,budget UI,Inherit month,Inherit,No (inherit),No,TblBudgetMonth,Med,High,P1,Confirmed from code,budget/[id] routes,
dbo,TblCustomerFollowUp,Monthly customer follow-up,ID,ClientID; EmpID; UserID,follow-up contact APIs,admin follow-up,UQ ClientID+FollowUpMonth,Global or hybrid,Maybe,Maybe,—,Med,Med,P2,Confirmed from schema,UX_TblCustomerFollowUp_ClientMonth,
dbo,TblClientLoyalty,Loyalty account per client,ClientLoyaltyID,ClientID,loyalty SPs; adjust,loyalty UI; public,Global per client,Global,No,No,—,Med,Med,P2,Confirmed from code,loyalty routes,
dbo,TblLoyaltyTier,Loyalty tiers,TierID,—,admin loyalty config,tier checks,Global,Global,No,No,—,Low,Low,P3,Confirmed from code,loyalty helpers,
dbo,TblLoyaltyPointLedger,Points movements,ledger PK,ClientLoyalty; maybe inv,earn/adjust/reverse/redeem SPs,ledger UI; stats,Global client,Global (+ optional branch tag),Optional tag,No,—,High,High,P1,Confirmed from code,sales; loyalty SPs,Earn branch useful for audit
dbo,TblLoyaltyStoreCategory,Cut Club store categories,CategoryID,—,admin store categories,public/admin store,UQ Code+SalonID,Hybrid/Branch,SalonID exists → BranchID,No,—,Med,High,P2,Confirmed from schema,cut-club-economy-store.sql,Align SalonID naming
dbo,TblLoyaltyStoreItem,Store items + stock,ItemID,Category; Tier,admin items/stock; purchases,store UI,UQ Code+SalonID; StockQuantity,Branch-scoped stock,Yes (SalonID),No,—,High,High,P2,Confirmed from schema/code,store.service.ts,getStoreStats ignores SalonID
dbo,TblClientInventory,Client reward inventory,InventoryID,Client; StoreItem,buy/open-box/use,POS client inventory,Per client voucher,Global client ownership; item may be branch,No on inventory row / tag source branch,No,—,Med,Med,P2,Confirmed from schema,UQ_ClientInventory_VoucherCode global,
dbo,TblInventoryUsageLog,Reward usage log,UsageID,Inventory; Client,use inventory,Admin/POS history,Inherit usage site,Branch-scoped tag,Yes recommended,No,—,Med,Med,P2,Confirmed from code,pos/client-inventory/use,
dbo,TblMysteryBoxReward,Mystery box rewards,RewardID,StoreItems,admin mystery boxes,open-box,SalonID nullable,Branch-scoped,Yes (SalonID),No,—,Med,Med,P2,Confirmed from schema,cut-club-economy-store.sql,
dbo,TblClientReferral,Referrals,ReferralID,Clients,referral flows,loyalty,SalonID nullable,Hybrid,Yes (SalonID),No,—,Med,Med,P3,Confirmed from schema,cut-club-economy-store.sql,
dbo,TblReferralReward,Referral reward rules,RewardRuleID,—,admin rules,referral engine,SalonID nullable,Branch-scoped/hybrid,Yes (SalonID),No,—,Med,Med,P3,Confirmed from schema,cut-club-economy-store.sql,
dbo,TblRoles,Role definitions,RoleID,—,permissions migrate/seed,requireRole,Global,Global,No,No,—,Low,Low,P3,Confirmed from code,permissions/migrate,RoleKey UNIQUE
dbo,TblUserRoles,User-role links,ID,UserID; RoleID,permissions users APIs,api-auth,Global roles; branch ACL separate,Global (+ branch ACL map),No,Yes UserBranchAccess for where,—,Med,High,P0,Confirmed from code,UQ_UserRoles,
dbo,TblSystemPages,Page registry,PageID,—,pages sync/migrate,nav; requirePageAccess,Global,Global,No,No,—,Low,Low,P3,Confirmed from code,pages-sync.ts,PageKey UNIQUE
dbo,TblPageRoleAccess,Page-role ACL,ID,PageID; RoleID,permissions pages APIs,canSeePage,Global what-not-where,Global,No,Branch permission separate,—,Med,High if UI-only,P1,Confirmed from code,UQ_PageRoleAccess,
dbo,TblPermissionAuditLog,Permission change audit,LogID,—,permission mutations,admin audit,Global,Global,Optional BranchID,No,—,Low,Low,P3,Confirmed from code,permissions migrate,
dbo,TblApprovalRequests,Approvals (retired),ApprovalID,Users,approve/reject now 410,legacy,N/A,Global/obsolete,No,No,—,Low,Low,P4,Confirmed from code,approvals routes 410,
dbo,TblSensitiveActionAuditLog,Sensitive action audit,AuditID,—,executeAuditedAction,admin audit-log,Global,Global (+ BranchID tag),Yes recommended,No,—,Med,Med,P1,Confirmed from schema,sensitive-audit-log.sql,Must record active branch
dbo,TblApprovalWorkflowStatus,Workflow retirement marker,StatusID,—,migration,status checks,N/A,Global,No,No,—,Low,Low,P4,Confirmed from schema,sensitive-audit-log.sql,
dbo,TblAccountingCategoryClassificationMap,Accounting category map,ID,ExpINID,admin classification settings,financial reports,UQ ExpINID,Global,No,No,—,Low,Med,P3,Confirmed from schema,UQ_AccCatMap_ExpINID,
dbo,TblAccountingKeywordClassificationRule,Keyword rules,ID,—,admin classification,classification engine,Global,Global,No,No,—,Low,Med,P3,Confirmed from schema,create-accounting-classification-settings.sql,
dbo,TblAccountingEmployeeAlias,Employee aliases,ID,EmpID,admin aliases,classification,Global,Global,No,No,—,Low,Low,P3,Confirmed from schema,same,
dbo,TblSequence,Legacy queue sequence,unknown,—,migrated away,legacy,Legacy,Obsolete,No,No,—,Low,Low,P4,Inferred from behavior,queue-booking-system comments,Replaced by QueueTickets
dbo,TblServices,Sparse alternate services table,unknown,—,rare bookings/[id] reference,rare,Unclear vs TblPro,Requires verification,?,?,—,?,?,P3,Requires verification,bookings/[id]/route.ts,Most code uses TblPro
sync,Node,Sync node registry,NodeId,—,sync-service bootstrap,sync worker,Infra,Infrastructure,No,No,—,High if misused,High,P1,Confirmed from schema,sync-service/sql/02-create-sync-schema.sql,Not a salon branch
sync,TableRegistry,CT table participation,(TableName SchemaName),—,sync setup,sync worker,Infra,Infrastructure,No,No,—,High,High,P1,Confirmed from schema,same,
sync,TablePk,PK metadata for sync,composite,registry,sync setup,sync worker,Infra,Infrastructure,No,No,—,Med,Med,P2,Confirmed from schema,same,
sync,TableDependency,Apply order,composite,registry,sync setup,sync worker,Infra,Infrastructure,No,No,—,Med,Med,P2,Confirmed from schema,same,
sync,Anchor,Watermarks,composite,—,sync runs,sync worker,Infra,Infrastructure,No,No,—,High,High,P1,Confirmed from schema,same,
sync,Batch,Sync batch,BatchId,—,sync runs,logs,Infra,Infrastructure,No,No,—,Med,Med,P2,Confirmed from schema,same,
sync,BatchItem,Batch row changes,BatchItemId,Batch,sync apply,logs/conflicts,Infra,Infrastructure,No,No,—,High,Critical,P1,Confirmed from schema,same,Can rewrite any CT business row
sync,Conflict,Conflict queue,ConflictId,—,sync conflicts,admin reconcile,Infra,Infrastructure,No,No,—,High,High,P1,Confirmed from schema,same,
sync,RunLog,Run summary,RunId,—,sync runs,ops,Infra,Infrastructure,No,No,—,Low,Low,P3,Confirmed from schema,same,
—,TblUserBranchAccess (proposed),User access to branches,—,UserID; BranchID,Phase later,AuthZ,N/A,Hybrid mapping,—,Yes — this is the map,—,N/A,N/A,P0,Inferred from behavior,audit recommendation,Not created in this audit
—,TblEmpBranchAssignment (proposed),Employee branch assignment,—,EmpID; BranchID,Phase later,HR/ops filters,N/A,Hybrid mapping,—,Yes,—,N/A,N/A,P0,Inferred from behavior,audit recommendation,Not created in this audit
—,TblBranch (proposed),Branch registry,BranchID,—,Phase later,Everywhere,N/A,Global registry,—,—,—,N/A,N/A,P0,Inferred from behavior,audit recommendation,Not created in this audit
filesystem,partners-employee-overrides.json,Partner report employee overrides,N/A,—,PUT partners-overrides API,partners report,Single file whole salon,Branch-scoped file or table,Yes,No,—,High,Critical,P1,Confirmed from code,partnersEmployeeOverridesStore.ts,Not in SQL CT sync
